"Name","Void Fraction","ASA m2/cm3","ASA m2/g","PLD","LCD","Isotherms","Database","Atoms in MOF","More Information"
"ECUDEM_clean","0.40","0","0","3.12","4.87","N2","CoREMOF","C, H, O, Sm","ECUDEM_clean"
"ESEDAJ_clean","0.44","472","585.","4.31","4.69","N2","CSD","C, H, O, Zn","ESEDAJ_clean"
"ESUTET_clean","0.45","640","640.","4.95","5.79","N2","CSD","C, Co, H, N, O","ESUTET_clean"
"FAVDIS_clean","0.34","175","580.","4.40","7.08","N2","CoREMOF","C, H, I, N, Zn","FAVDIS_clean"
"FEZCIX_clean","0.72","2724","2885","6.13","9.87","N2","CoREMOF","C, Cu, N","FEZCIX_clean"
"FUTZOL_clean","0.63","1691","1507","6.36","9.30","N2","CoREMOF","C, H, O, Zn","FUTZOL_clean"
"FUYYAA_clean","0.24","0","0","2.50","4.57","N2","CoREMOF","C, Cu, H, N, Nd, O","FUYYAA_clean"
"GAGSUF_clean","0.67","838","1285","13.0","13.2","N2","CoREMOF","C, H, O, Th","GAGSUF_clean"
"GIHZAZ_clean","0.74","2472","1653","5.43","9.56","N2","CoREMOF","C, H, N, Ni, O","GIHZAZ_clean"
"GIXJEE_clean","0.44","1155","1044","7.66","12.7","","CSD","C, Co, H, N, O","GIXJEE_clean"
"GUZVOO_clean","0.48","583","939.","5.63","7.90","N2","CoREMOF","C, Co, F, N, O","GUZVOO_clean"
"HAJLOU_clean","0.16","0","0","3.52","5.88","N2","CoREMOF","C, Fe, H, N, S","HAJLOU_clean"
"HAKVEX_clean","0.77","0","0","2.73","8.23","N2","CoREMOF","C, Cl, Co, H, In, N, O","HAKVEX_clean"
"HAWZEM_clean","0.47","257","330.","3.74","4.83","N2","CoREMOF","C, Cu, H, N, O","HAWZEM_clean"
"HOHMIB_clean","0.81","3861","2079","11.4","13.1","N2","CoREMOF","C, H, N, O, Zn","HOHMIB_clean"
"HOVGEG_clean","0.26","279","485.","5.00","5.72","N2","CoREMOF","C, H, O, Zn","HOVGEG_clean"
"HOWPIU_clean","0.17","0","0","2.59","3.80","N2","CoREMOF","Ag, C, H, N","HOWPIU_clean"
"IBARUA_clean","0.31","341","676.","5.02","7.12","N2","CoREMOF","C, Cu, Er, H, N, O","IBARUA_clean"
"IBOTOI_clean","0.72","3034","2065","6.50","9.56","N2","CoREMOF","C, H, La, N, O","IBOTOI_clean"
"ic402058f_si","0.45","613","814.","4.37","5.34","N2","CoREMOF","C, Cd, H, O","ic402058f_si"
"IDUDIW_clean","0.54","0","0","3.49","4.41","N2","CoREMOF","C, Cu, H, N, O","IDUDIW_clean"
"ITIPAE_clean","0.30","325","590.","3.84","5.03","N2","CoREMOF","C, H, O, Zn","ITIPAE_clean"
"IYIHOO_clean","0.85","1045","1045","5.22","9.33","","CSD","Br, C, H, N, O, Si, Zn","IYIHOO_clean"
"JEMNAR_clean","0.35","0","0","3.17","5.06","N2","CoREMOF","C, H, N, Ni, O","JEMNAR_clean"
"JIQVAH_clean","0.37","0","0","3.31","4.60","N2","CoREMOF","C, H, N, Ru, Yb","JIQVAH_clean"
"JOLYEQ_clean","0.34","631","707.","10.4","10.4","N2","CoREMOF","C, N, O, P, Zr","JOLYEQ_clean"
"jz4002345_si","0.55","664","1037","4.17","8.70","N2","CoREMOF","C, H, Hf, O","jz4002345_si"
"KARMEX_clean","0.80","2848","2848","9.94","14.9","","CSD","C, H, N, Ni, O","KARMEX_clean"
"KIGCEK_clean","0.52","1225","1213","10.2","10.3","N2","CoREMOF","C, H, N, O, Zn","KIGCEK_clean"
"LABPEM_clean","0.25","206","517.","5.05","6.18","N2","CoREMOF","C, H, I, N, O, Zn","LABPEM_clean"
"LASDEQ_clean","0.78","2685","2047","8.72","13.8","N2","CoREMOF","C, Cu, H, O","LASDEQ_clean"
"LAWFOF_clean","0.82","3704","2184","7.95","15.1","N2","CoREMOF","C, H, O, Zn","LAWFOF_clean"
"LIQGAU_clean","0.28","0","0","2.48","3.41","N2","CoREMOF","Ag, C, F, O","LIQGAU_clean"
